Label,Description,FieldType,DataType,TablesList,JoinsList
Currency Code,The currency code of currency used to complete a purchase.,DIMENSION,TEXT,Returns,"Orders, Returns, Feedback"
Defective,"Inventory that does not look or function as described in the listing and is not visibly damaged, for example, a recalled product.",METRIC,NUMBER,Inventory Events Fba,Inventory Events Fba
Distributor Damaged,"Inventory that was damaged by the seller, vendor, or distributor during receiving.",METRIC,NUMBER,Inventory Events Fba,Inventory Events Fba
Expired,Inventory that has passed its expiration date as described in Date/Lot.,METRIC,NUMBER,Inventory Events Fba,Inventory Events Fba
Fulfiller Damaged,Damaged at Amazon fulfillment center.,METRIC,NUMBER,Inventory Events Fba,Inventory Events Fba
Returns - In Policy,Reports whether the Return was completed In Policy or not.  Will provide Y for yes and No for no.,DIMENSION,TEXT,Returns,"Orders, Returns, Feedback"
Returns - Invoice Number,The invoice number for the order.,DIMENSION,TEXT,Returns,"Orders, Returns, Feedback"
Returns - Is Prime,Notes whether or not the item purchased was a Prime order or not.  Will report Y for Prime and N for not Prime.,DIMENSION,TEXT,Returns,"Orders, Returns, Feedback"
Item Name (returns),Name of item for inventory and returns reporting.,DIMENSION,TEXT,Returns,"Orders, Returns, Feedback"
Returns - Label Cost,Cost of the shipping label for the return.,METRIC,CURRENCY,Returns,"Orders, Returns, Feedback"
Returns - Label To Be Paid By,Identifies who will pay for the return label.  Will report Customer if customer will pay and Seller if seller will pay.,DIMENSION,TEXT,Returns,"Orders, Returns, Feedback"
Returns - Label Type,The type of label that was used to ship the Return back.,DIMENSION,TEXT,Returns,"Orders, Returns, Feedback"
Returns - Merchant RMA ID,RMA ID for the seller.,DIMENSION,TEXT,Returns,"Orders, Returns, Feedback"
Returns - Merchant SKU,A merchant-defined unique identifier for a product.,DIMENSION,TEXT,Returns,"Orders, Returns, Feedback"
Order Item ID,"Amazon’s unique, displayable identifier for an item within the order.",DIMENSION,TEXT,Fees,"Orders, Fees, Feedback"
Returns - Order Amount,Revenue of item for returns reporting.,METRIC,NUMBER,Returns,"Orders, Returns, Feedback"
Returns - Order Date,Date of order for returns reporting.,DIMENSION,YEAR_MONTH_DAY,Returns,"Orders, Returns, Feedback"
Returns - Order Quantity,"Quantity ordered for Returns reporting, but not the quantity returned. Use Return Quantity to compare this metric to actual amount returned.",METRIC,NUMBER,Returns,"Orders, Returns, Feedback"
Review Rating,"Rating on a scale of 1-5, but the API presently only provides Ratings of 3-5.",METRIC,NUMBER,Feedback,Feedback
Refunded Amount,Amount refunded of an order.,METRIC,NUMBER,Returns,"Orders, Returns, Feedback"
Returns - Resolution,The action taken to resolve the return.,DIMENSION,TEXT,Returns,"Orders, Returns, Feedback"
Return Carrier,"The carrier that returned the item (USPS, UPS, etc.)",DIMENSION,TEXT,Returns,"Orders, Returns, Feedback"
Return Delivery Date,Date returned merchandise was processed at the fulfillment center.,DIMENSION,YEAR_MONTH_DAY,Returns,"Orders, Returns, Feedback"
Return Quantity,Number of units of an item returned.,METRIC,NUMBER,Returns,"Orders, Returns, Feedback"
Return Reason Code,A short description of reason for return as indicated by the customer.,DIMENSION,TEXT,Returns,"Orders, Returns, Feedback"
Return Request Status,"The status of the Return (Approved, etc.)",DIMENSION,TEXT,Returns,"Orders, Returns, Feedback"
Return Type,The type of return.  Will typically report C-Returns for a customer return.,DIMENSION,TEXT,Returns,"Orders, Returns, Feedback"
Sellable,Inventory that looks and functions as described in the listing.,METRIC,NUMBER,Inventory Events Fba,Inventory Events Fba
Safe-T Action Reason,Response from Amazon for determining the Claim Status.,DIMENSION,TEXT,Returns,"Orders, Returns, Feedback"
Safe-T Claim Creation Time,Date that the Safe-T Claim was created.,DIMENSION,YEAR_MONTH_DAY,Returns,"Orders, Returns, Feedback"
Safe-T Claim ID,Unique ID assigned to the Safe-T claim.,DIMENSION,TEXT,Returns,"Orders, Returns, Feedback"
Safe-T Claim Status,"Status of the claim (Granted, Denied, etc.)",DIMENSION,TEXT,Returns,"Orders, Returns, Feedback"
Returns - Seller RMA ID,RMA ID assigned to the return.,DIMENSION,TEXT,Returns,"Orders, Returns, Feedback"
Returns - Tracking ID,"The carrier’s tracking number for the package, if available.",DIMENSION,TEXT,Returns,"Orders, Returns, Feedback"
Unknown,Inventory that has an Unknown disposition.,METRIC,NUMBER,Inventory Events Fba,Inventory Events Fba
Unsellable,The number of units you have for a SKU in Amazon fulfillment centers in unsellable condition.,METRIC,NUMBER,Inventory Events Fba,Inventory Events Fba
Warehouse Damaged,Inventory that was damaged at an Amazon fulfillment center.,METRIC,NUMBER,Inventory Events Fba,Inventory Events Fba
Account ID,Amazon Seller ID,DIMENSION,TEXT,"Estimated Fee, Estimated Fee Fba, Excess Inventory Fba, Feedback, Fees, Inventory, Inventory Fba, Inventory Events Fba, Orders, Reimb, Returns, Returns Fba, Sales And Traffic, Sales And Traffic By Asin","Inventory, Estimated Fee, Estimated Fee Fba, Inventory Fba, Excess Inventory Fba, Feedback, Orders, Fees, Inventory Events Fba, Reimb, Returns, Returns Fba, Sales And Traffic, Sales And Traffic By Asin"
AFN Fulfillable Quantity,"The number of units you have for a SKU in Amazon fulfillment centers that can be picked, packed, and shipped.",METRIC,NUMBER,Inventory Fba,"Inventory Fba, Excess Inventory Fba"
AFN Future Supply Buyable,The number of units available for customers to find and buy while inventory is on its way to an Amazon fulfillment center through In-Stock Head Start.,METRIC,NUMBER,Inventory Fba,"Inventory Fba, Excess Inventory Fba"
AFN Inbound Receiving Quantity,"The number of units you have for a SKU that have not yet been received at an Amazon fulfillment center for processing, but are part of an inbound shipment with some units that have already been received and processed.",METRIC,NUMBER,Inventory Fba,"Inventory Fba, Excess Inventory Fba"
AFN Inbound Shipped Quantity,The number of units you have for a SKU in an inbound shipment that you have notified Amazon about and provided a tracking number.,METRIC,NUMBER,Inventory Fba,"Inventory Fba, Excess Inventory Fba"
AFN Inbound Working Quantity,The number of units you have for a SKU in an inbound shipment that you have notified Amazon about.,METRIC,NUMBER,Inventory Fba,"Inventory Fba, Excess Inventory Fba"
AFN Listing Exists,"""Yes"" indicates that the item is listed for Fulfillment by Amazon.",DIMENSION,TEXT,Inventory Fba,"Inventory Fba, Excess Inventory Fba"
Afn Researching Quantity,This represents the misplaced or warehouse damaged inventory that is actively being confirmed at Amazon's fulfillment centers.,METRIC,NUMBER,Inventory Fba,"Inventory Fba, Excess Inventory Fba"
AFN Reserved Future Supply,The number of units that customers have purchased while inventory is on its way to an Amazon fulfillment center through In-Stock Head Start.,METRIC,NUMBER,Inventory Fba,"Inventory Fba, Excess Inventory Fba"
AFN Reserved Quantity,"The number of units you have for a SKU in Amazon fulfillment centers that are currently being picked, packed, and shipped or are sidelined for measurement, sampling, or other internal processes.",METRIC,NUMBER,Inventory Fba,"Inventory Fba, Excess Inventory Fba"
Afn Total Quantity,The total number of units you have for a SKU in an inbound shipment or in Amazon fulfillment centers: (afn-total-quantity) = (afn-warehouse-quantity) + (afn-inbound-working-quantity) + (afn-inbound-shipped-quantity) + (afn-inbound-receiving-quantity),METRIC,NUMBER,Inventory Fba,"Inventory Fba, Excess Inventory Fba"
Afn Unsellable Quantity,The number of units you have for a SKU in Amazon fulfillment centers in unsellable condition.,METRIC,NUMBER,Inventory Fba,"Inventory Fba, Excess Inventory Fba"
Afn Warehouse Quantity,The number of units you have for an SKU in Amazon fulfillment centers that have been processed: (afn-warehouse-quantity) = (afn-fulfillable-quantity) + (afn-unsellable-quantity) + (afn-reserved-quantity).,METRIC,NUMBER,Inventory Fba,"Inventory Fba, Excess Inventory Fba"
Alert,Shows when an item has a low traffic or low conversion alert.  Low traffic indicates that a low number of potential buyers have seen the listings.  Low conversion indicates that potential buyers are viewing the listing but do not follow through to purchase the product.,DIMENSION,TEXT,Excess Inventory Fba,Excess Inventory Fba
Amazon Order ID,"Amazon’s unique, displayable identifier for an order.",DIMENSION,TEXT,"Feedback, Fees, Orders, Reimb, Returns, Returns Fba","Feedback, Orders, Fees, Reimb, Returns, Returns Fba"
Amount,"Reports totals for every type of fee, including Item Fees, Promotions, shipping, tax, promotions, gift wrap and even the selling price.  Best used in conjunction with the Type dimension in the fees table",METRIC,CURRENCY,Fees,"Orders, Fees, Feedback"
Amount Per Unit,The per-unit reimbursement amount for this line item.,METRIC,CURRENCY,Reimb,Reimb
Amount Total (Reimbursement),The total amount of the cash reimbursement for a line item.,METRIC,CURRENCY,Reimb,Reimb
Approval Date,The date the reimbursement was approved.,DIMENSION,YEAR_MONTH_DAY_HOUR,Reimb,Reimb
ASIN,Amazon Standard Identification Numbers (ASINs) are unique blocks of 10 letters and/or numbers that identify items. ASINs are assigned by Amazon. You can find the ASIN on the product detail page.,DIMENSION,TEXT,"Estimated Fee, Estimated Fee Fba, Excess Inventory Fba, Inventory, Inventory Fba, Orders, Reimb, Returns, Returns Fba, Sales And Traffic By Asin","Inventory, Estimated Fee, Estimated Fee Fba, Inventory Fba, Excess Inventory Fba, Orders, Feedback, Reimb, Returns, Returns Fba, Sales And Traffic By Asin"
Brand,The brand of your product,DIMENSION,TEXT,Estimated Fee Fba,"Estimated Fee Fba, Inventory Fba, Excess Inventory Fba"
Buy Box Price,The buybox-winning price for this item at the time the report was generated.,DIMENSION,TEXT,Excess Inventory Fba,Excess Inventory Fba
Buyer Company Name,Company Name that made a purchase.,DIMENSION,TEXT,Orders,"Orders, Feedback"
Buyer Tax Registration Country,Country that order was shipped to.,DIMENSION,TEXT,Orders,"Orders, Feedback"
Buyer Tax Registration ID,"Tax registration ID of the buyer, if it exists.",DIMENSION,TEXT,Orders,"Orders, Feedback"
Buyer Tax Registration Type,"Type of tax registration ID for the buyer, if it exists.",DIMENSION,TEXT,Orders,"Orders, Feedback"
Case ID,The unique identifier assigned to the case when you request a reimbursement.,DIMENSION,NUMBER,Reimb,Reimb
Category,The Category for taxes and fees.,DIMENSION,TEXT,Fees,"Orders, Fees, Feedback"
Commercial Price,"**Hidden June 17 2024 no data, no competitors offer this field**",DIMENSION,TEXT,Inventory,Inventory
Inventory Condition,"The condition of the unit (new, used, etc.)",DIMENSION,TEXT,"Excess Inventory Fba, Inventory Fba, Reimb","Excess Inventory Fba, Inventory Fba, Reimb"
Currency,"The currency used for the purchase. Supported currencies include CDN, USD, GBP, EUR, and JPY.",DIMENSION,TEXT,"Estimated Fee Fba, Excess Inventory Fba, Fees, Orders","Estimated Fee Fba, Inventory Fba, Excess Inventory Fba, Orders, Fees, Feedback"
Currency Unit (Reimbursement),The currency for the applicable marketplace for a reimbursement.,DIMENSION,TEXT,Reimb,Reimb
Returns - Customer Comments,"When available, comments submitted by customers regarding the reason for the return are provided.",DIMENSION,TEXT,Returns Fba,"Orders, Returns Fba, Feedback"
Data Freshness,Used by Power My Analytics to improve report quality.,DIMENSION,YEAR_MONTH_DAY_HOUR,"Estimated Fee, Estimated Fee Fba, Excess Inventory Fba, Feedback, Fees, Inventory, Inventory Fba, Inventory Events Fba, Orders, Reimb, Returns, Returns Fba, Sales And Traffic, Sales And Traffic By Asin","Inventory, Estimated Fee, Estimated Fee Fba, Inventory Fba, Excess Inventory Fba, Feedback, Orders, Fees, Inventory Events Fba, Reimb, Returns, Returns Fba, Sales And Traffic, Sales And Traffic By Asin"
Date And Time,Date and time for reporting.,DIMENSION,YEAR_MONTH_DAY_HOUR,"Estimated Fee, Estimated Fee Fba, Excess Inventory Fba, Feedback, Fees, Inventory, Inventory Fba, Inventory Events Fba, Orders, Reimb, Returns, Returns Fba, Sales And Traffic, Sales And Traffic By Asin","Inventory, Estimated Fee, Estimated Fee Fba, Inventory Fba, Excess Inventory Fba, Feedback, Orders, Fees, Inventory Events Fba, Reimb, Returns, Returns Fba, Sales And Traffic, Sales And Traffic By Asin"
Days Of Supply,The number of days your inventory is expected to last.,METRIC,NUMBER,Excess Inventory Fba,Excess Inventory Fba
Returns - Disposition,Condition of the returned item.,DIMENSION,TEXT,Returns Fba,"Orders, Returns Fba, Feedback"
Estimated Cost Savings Of Recommended Actions,Estimated cost savings between taking the recommended action versus the storage fees you would incur on that inventory by taking no action.,METRIC,CURRENCY,Excess Inventory Fba,Excess Inventory Fba
Estimated Delivery Services Fee Per Unit,Fee for delivery services.,METRIC,CURRENCY,Estimated Fee Fba,"Estimated Fee Fba, Inventory Fba, Excess Inventory Fba"
Estimated Excess,The number of units where the cost of holding your inventory would likely be more than the cost of taking action (such as reducing prices to increase sell through or removing excess units).,METRIC,NUMBER,Excess Inventory Fba,Excess Inventory Fba
Estimated Excess Quantity,Estimated; excess units are overstocked units based on your current sales; velocity and customer demand forecast. It’s costing you more to keep; these units on hand and pay storage fees than to reduce the number of; units through a price reduction or removal.,METRIC,NUMBER,Excess Inventory Fba,Excess Inventory Fba
Estimated Fee Total,The estimated fulfillment and Selling on Amazon fee,METRIC,CURRENCY,Estimated Fee Fba,"Estimated Fee Fba, Inventory Fba, Excess Inventory Fba"
Estimated Fixed Closing Fee,Estimated fixed FBA fee based on product price.,METRIC,CURRENCY,Estimated Fee Fba,"Estimated Fee Fba, Inventory Fba, Excess Inventory Fba"
Estimated Future Order Handling Fee Per Order,The estimated Order Handling Fee per order.,METRIC,CURRENCY,Estimated Fee Fba,"Estimated Fee Fba, Inventory Fba, Excess Inventory Fba"
Estimated Future Pick Pack Fee Per Unit,The estimated Pick & Pack Fee for your product per unit.,METRIC,CURRENCY,Estimated Fee Fba,"Estimated Fee Fba, Inventory Fba, Excess Inventory Fba"
Estimated Future Weight Handling Fee Per Unit,The estimated Weight Handling Fee for your product based on the Outbound Shipping Weight.,METRIC,CURRENCY,Estimated Fee Fba,"Estimated Fee Fba, Inventory Fba, Excess Inventory Fba"
Estimated Order Handling Fee Per Order,The estimated Order Handling Fee per order,DIMENSION,TEXT,Estimated Fee Fba,"Estimated Fee Fba, Inventory Fba, Excess Inventory Fba"
Estimated Pick Pack Fee Per Unit,The estimated Pick & Pack Fee for your product per unit,DIMENSION,TEXT,Estimated Fee Fba,"Estimated Fee Fba, Inventory Fba, Excess Inventory Fba"
Estimated Referral Fee Per Item,The estimated Selling on Amazon Referral Fee.,DIMENSION,TEXT,Estimated Fee,"Inventory, Estimated Fee"
Estimated Referral Fee Per Unit,The estimated Selling on Amazon Referral Fee,METRIC,CURRENCY,Estimated Fee Fba,"Estimated Fee Fba, Inventory Fba, Excess Inventory Fba"
Estimated Storage Cost Next 30 Days,"The approximate amount of fees that you would incur 30 days from today, based on your current sales rate. It is a rolling estimate that reflects the monthly storage fee plus the estimated long-term storage fee.",METRIC,NUMBER,Excess Inventory Fba,Excess Inventory Fba
Estimated Variable Closing Fee,The estimated Variable Closing Fee for your product,METRIC,CURRENCY,Estimated Fee Fba,"Estimated Fee Fba, Inventory Fba, Excess Inventory Fba"
Estimated Weight Handling Fee Per Unit,The estimated Weight Handling Fee for your product based on the Outbound Shipping Weight,DIMENSION,TEXT,Estimated Fee Fba,"Estimated Fee Fba, Inventory Fba, Excess Inventory Fba"
Excess Threshold,The maximum days of supply inventory for this item. Default 90 days of supply.,METRIC,NUMBER,Excess Inventory Fba,Excess Inventory Fba
Expected Domestic Fulfilment Fee Per Unit,Expected fee for fulfilling an order that is shipped to a domestic destination (not shipped cross-border).,METRIC,CURRENCY,Estimated Fee Fba,"Estimated Fee Fba, Inventory Fba, Excess Inventory Fba"
Expected Efn Fulfilment Fee Per Unit De,Expected fee to ship locally to Germany.,METRIC,CURRENCY,Estimated Fee Fba,"Estimated Fee Fba, Inventory Fba, Excess Inventory Fba"
Expected Efn Fulfilment Fee Per Unit Es,Expected fee to ship locally to Spain.,DIMENSION,TEXT,Estimated Fee Fba,"Estimated Fee Fba, Inventory Fba, Excess Inventory Fba"
Expected Efn Fulfilment Fee Per Unit Fr,Expected fee to ship locally to France.,METRIC,CURRENCY,Estimated Fee Fba,"Estimated Fee Fba, Inventory Fba, Excess Inventory Fba"
Expected Efn Fulfilment Fee Per Unit It,Expected fee to ship locally to Italy.,METRIC,CURRENCY,Estimated Fee Fba,"Estimated Fee Fba, Inventory Fba, Excess Inventory Fba"
Expected Efn Fulfilment Fee Per Unit Uk,Expected fee to ship locally to the UK.,METRIC,CURRENCY,Estimated Fee Fba,"Estimated Fee Fba, Inventory Fba, Excess Inventory Fba"
Expected Fulfillment Fee Per Unit,Expected fulfillment fee for each unit.,METRIC,CURRENCY,Estimated Fee Fba,"Estimated Fee Fba, Inventory Fba, Excess Inventory Fba"
Expected Future Domestic Fulfilment Fee Per Unit,Expected fee for fulfilling an order that is shipped to a domestic destination (not shipped cross-border).,METRIC,CURRENCY,Estimated Fee Fba,"Estimated Fee Fba, Inventory Fba, Excess Inventory Fba"
Expected Future Efn Fulfilment Fee Per Unit De,Expected fee to ship locally to Germany.,METRIC,CURRENCY,Estimated Fee Fba,"Estimated Fee Fba, Inventory Fba, Excess Inventory Fba"
Expected Future Efn Fulfilment Fee Per Unit Es,Expected fee to ship locally to Spain.,METRIC,CURRENCY,Estimated Fee Fba,"Estimated Fee Fba, Inventory Fba, Excess Inventory Fba"
Expected Future Efn Fulfilment Fee Per Unit Fr,Expected fee to ship locally to France.,METRIC,CURRENCY,Estimated Fee Fba,"Estimated Fee Fba, Inventory Fba, Excess Inventory Fba"
Expected Future Efn Fulfilment Fee Per Unit It,Expected fee to ship locally to Italy.,METRIC,CURRENCY,Estimated Fee Fba,"Estimated Fee Fba, Inventory Fba, Excess Inventory Fba"
Expected Future Efn Fulfilment Fee Per Unit Uk,Expected fee to ship locally to the UK.,METRIC,CURRENCY,Estimated Fee Fba,"Estimated Fee Fba, Inventory Fba, Excess Inventory Fba"
Expected Future Fulfillment Fee Per Unit,Expected fulfillment fee for each unit.,METRIC,CURRENCY,Estimated Fee Fba,"Estimated Fee Fba, Inventory Fba, Excess Inventory Fba"
FNSKU,Fulfillment Network Stock Keeping Units (FNSKUs) are unique identifiers assigned by Amazon to products stored in and fulfilled from Amazon fulfillment centers.,DIMENSION,TEXT,"Estimated Fee Fba, Excess Inventory Fba, Inventory Fba, Reimb, Returns Fba","Estimated Fee Fba, Inventory Fba, Excess Inventory Fba, Reimb, Orders, Returns Fba, Feedback"
Fulfilled By,The entity that fulfilled the item,DIMENSION,TEXT,"Estimated Fee Fba, Excess Inventory Fba, Orders","Estimated Fee Fba, Inventory Fba, Excess Inventory Fba, Orders, Feedback"
Returns - Fulfillment Center ID,Fulfillment center where inventory is stored,DIMENSION,TEXT,Returns Fba,"Orders, Returns Fba, Feedback"
Fulfillment Channel,"Indicates how the order was fulfilled, via Amazon (AFN) or Merchant (MFN)",DIMENSION,TEXT,"Inventory, Orders","Inventory, Orders, Feedback"
Fulfilment Channel,Channel that fulfilled the order (Amazon vs Merchant),DIMENSION,TEXT,Inventory,Inventory
Gift Wrap Price,"The amount the buyer paid for gift wrap. Amount is aggregate of the quantity, not unit price.",METRIC,CURRENCY,Orders,"Orders, Feedback"
Gift Wrap Tax,"The amount the buyer paid for gift wrap tax. Amount is aggregate of the quantity, not unit price.",METRIC,NUMBER,Orders,"Orders, Feedback"
Healthy Inventory Level,Quantity of inventory that is not considered excess based on product demand and your costs. Our recommendations are based on helping you reach this level of inventory.,DIMENSION,TEXT,Excess Inventory Fba,Excess Inventory Fba
Inventory Age 0 To 90 Days,The number of sellable Units you have for a SKU that have been in the fulfillment center for the last 0-90 days,METRIC,NUMBER,Excess Inventory Fba,Excess Inventory Fba
Inventory Age 181 To 270 Days,The number of sellable Units you have for a SKU that have been in the fulfillment center for the last 181 – 270 days,METRIC,NUMBER,Excess Inventory Fba,Excess Inventory Fba
Inventory Age 271 To 365 Days,The number of sellable Units you have for a SKU that have been in the fulfillment center for the last 271 – 365 days,METRIC,NUMBER,Excess Inventory Fba,Excess Inventory Fba
Inventory Age 365 Plus Days,The number of sellable Units you have for a SKU that have been in the fulfillment center for the last 365+ days,METRIC,NUMBER,Excess Inventory Fba,Excess Inventory Fba
Inventory Age 91 To 180 Days,The number of sellable Units you have for a SKU that have been in the fulfillment center for the last 91 – 180 days,METRIC,NUMBER,Excess Inventory Fba,Excess Inventory Fba
Inventory Age Key,"When paired with Inventory Age Value, indicates the number of items in inventory that have aged 0-90 days, 91-180 days, etc.",DIMENSION,TEXT,Excess Inventory Fba,Excess Inventory Fba
Inventory Age Value,"When paired with Inventory Age Key, indicates the number of items in inventory that have aged 0-90 days, 91-180 days, etc.",METRIC,NUMBER,Excess Inventory Fba,Excess Inventory Fba
Inventory Quantity,The quantity of inventory reported.,METRIC,NUMBER,Inventory,Inventory
Is Amazon Invoiced,Notes if the order is invoiced by Amazon or not.,DIMENSION,TEXT,Orders,"Orders, Feedback"
Is Business Order,Indicates if the order is from an Amazon Business customer.,DIMENSION,TEXT,Orders,"Orders, Feedback"
Is Exchange Order,Identifies if the order is an exchange order or not.,DIMENSION,TEXT,Orders,"Orders, Feedback"
Is Heavy Or Bulky,Identifies if an shipment is heavy or bulky.,DIMENSION,TEXT,Orders,"Orders, Feedback"
Is Replacement Order,Identifies if an order is for a replacement for a prior order.,DIMENSION,TEXT,Orders,"Orders, Feedback"
Is Sold By Ab,When an order is a Sold By AB order the IsSoldByAB flag is set to true.,DIMENSION,TEXT,Orders,"Orders, Feedback"
Is Transparency,Identifies if an ASIN or product is enrolled in the Transparency program.,DIMENSION,TEXT,Orders,"Orders, Feedback"
Item Condition,Condition of the item being sold.,DIMENSION,TEXT,Inventory,Inventory
Item Description,Description provided by seller of the item.,DIMENSION,TEXT,Inventory,Inventory
Item Name (inventory),Name of the item.,DIMENSION,TEXT,"Estimated Fee, Inventory","Inventory, Estimated Fee"
Item Note,Your description of the listing.,DIMENSION,TEXT,Inventory,Inventory
Item Package Weight,The weight of the product including its packaging,METRIC,NUMBER,Estimated Fee Fba,"Estimated Fee Fba, Inventory Fba, Excess Inventory Fba"
Item Subtotal,"The amount the buyer paid for the item. Amount is aggregate of the quantity, not unit price.",METRIC,CURRENCY,Orders,"Orders, Feedback"
Item Promotion Discount,Promotion discount applied to the order item.,METRIC,NUMBER,Orders,"Orders, Feedback"
Item Status,Current status of this item within the order.,DIMENSION,TEXT,Orders,"Orders, Feedback"
Item Tax,"The amount the buyer paid for item tax. Amount is aggregate of the quantity, not unit price.",METRIC,NUMBER,Orders,"Orders, Feedback"
Item Volume,"The volume of the item, which is calculated by multiplying the longest side, median side, and shortest side together. These measurements generally correspond to the length, width, and height of the item.",METRIC,NUMBER,Excess Inventory Fba,Excess Inventory Fba
Last Updated Date,The date of the most recent order update.,DIMENSION,YEAR_MONTH_DAY_HOUR,Orders,"Orders, Feedback"
Length And Girth,"The longest side of your product, including its packaging, plus the girth, a unit measure, equivalent to 2 x (median side + shortest side)",METRIC,NUMBER,Estimated Fee Fba,"Estimated Fee Fba, Inventory Fba, Excess Inventory Fba"
License Plate Number,A unique identifier code used as a sticker to identify items for returns.,DIMENSION,TEXT,Returns Fba,"Orders, Returns Fba, Feedback"
Listing ID,A value derived by Amazon when an item is listed. The first 4 digits are the month and day it was listed.,DIMENSION,TEXT,Inventory,Inventory
Longest Side,Measurement of the longest side of your product including its packaging,METRIC,NUMBER,Estimated Fee Fba,"Estimated Fee Fba, Inventory Fba, Excess Inventory Fba"
Lowest Price Includes Shipping,The lowest price (including shipping) for an item.,METRIC,CURRENCY,Excess Inventory Fba,Excess Inventory Fba
Lowest Price Used,The lowest price (including shipping) for this item in used condition on Amazon.,METRIC,CURRENCY,Excess Inventory Fba,Excess Inventory Fba
Marketplace,The marketplace where an item is listed.,DIMENSION,TEXT,Excess Inventory Fba,Excess Inventory Fba
Marketplace ID,The ID for the marketplace where an item is listed.,DIMENSION,TEXT,"Estimated Fee, Excess Inventory Fba, Inventory, Inventory Fba, Returns, Sales And Traffic, Sales And Traffic By Asin","Inventory, Estimated Fee, Excess Inventory Fba, Inventory Fba, Orders, Returns, Feedback, Sales And Traffic, Sales And Traffic By Asin"
Marketplace Name,"For FBA inventory reporting, the Amazon marketplace where the item is listed (United States, Germany, Spain, etc.).",DIMENSION,TEXT,"Estimated Fee, Excess Inventory Fba, Inventory, Inventory Fba, Returns","Inventory, Estimated Fee, Excess Inventory Fba, Inventory Fba, Orders, Returns, Feedback"
Maximum Retail Price,This field is used to denote the maximum retail price.,METRIC,CURRENCY,Inventory,Inventory
