NEW BOM ID,Component Type,PHX Class,Supplier/Manufacturer,Address,Email,Contact Number,SUPPLIER MFG LT,TRANSIT LT,AMZ Safety Days,WH Safety Days,PO Issue Days,Master Pack,MOQ,OrderingUOM,Unit Price (Published Online),Shipping Cost,Landed Cost,"Conversion ( to L, Kg, Caps, pc)",Converted Unit Price,IMS-Unit,Supplier/Manufacturer,Address,Email,Contact Number,Supplier Payment Terms,Product Link,Supplier Product ID/Model #,Description,Remarks,Alternative Supplier 1,Alternative Supplier 2,Monthly Usage,Monthly Spend,duplicate,TOTAL LT BOM MASTER,,Comments,,,,,,,,,
LABL-TA-6.125X0.5625-Invis-Spot-Side,Label,B,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardLabels.com,888-277-3037,6,3,60,30,3,1,500,pcs,0.0333,0,0.0333,1,0.0333,Pcs,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardlabels.com,888-277-3037,CBS,x,custom,,,,,,,1,12,,,,,,,,,,,
LABL-11.3125x1.625-Crepey-Skin-Cream-Side,Label,A,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardLabels.com,888-277-3037,6,3,60,30,3,1,500,pcs,0.125,0,0.125,1,0.125,Pcs,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardlabels.com,888-277-3037,CBS,x,custom,,,,,,,1,12,,,,,,,,,,,
JAR-Inv-Spot-48-400-1/2oz-Double-Wall-White-PLSF,White Label,B,Container and Packaging,"1345 E State St. Eagle, ID 83616 USA",Jared.Murray@containers.com,(208) 639-5868,7,7,60,30,3,1,3500,pcs,0.218,0.0406,0.2586,1,0.2586,Pcs,Container and Packaging,"1345 E State St. Eagle, ID 83616 USA",Jared.Murray@containers.com,(208) 639-5868,NET45,https://www.containerandpackaging.com/products/double-wall-straight-base-jar/J007,J007,,,,,,,1,17,,,,,,,,,,,
RM-PWD-Organic-Monk-Fruit-Extract-10%,Raw Material,A,Haigen,"No.3 Taoyuan Road,Taiwan Industry Park,QuFu 273100,China",haigen.stevia@foxmail.com,(+86)18253296328,5,10,60,30,3,25,200,kg,57,0.6481,57.6481,1,57.6481,Kg,Haigen,"No.3 Taoyuan Road,Taiwan Industry Park,QuFu 273100,China",haigen.stevia@foxmail.com,(+86)18253296328,NET90,,,,,,,,,1,18,,,,,,,,,,,
Safetry-Shrink-M175-57x36,Safety Shrink Band,,Container and Packaging,"1344 E State St. Eagle, ID 83616 USA",Jared.Murray@containers.com,(208) 639-5867,7,7,60,30,3,1,1000,pcs,0.0142,0,0.0142,1,0.0142,Pcs,Container and Packaging,"1345 E State St. Eagle, ID 83616 USA",Jared.Murray@containers.com,(208) 639-5868,NET45,https://www.containerandpackaging.com/products/shrink-band-or-bag-or-sleeve/M175,M175,,,,,,,1,17,,,,,,,,,,,
Safetry-Shrink-Dome-Trigger Spray/Pump Spray 8oz,Safety Shrink Band,,Container and Packaging,"1345 E State St. Eagle, ID 83616 USA",Jared.Murray@containers.com,(208) 639-5868,7,7,60,30,3,1,10000,pcs,0.11,,0.11,1,0.11,Pcs,Container and Packaging,"1345 E State St. Eagle, ID 83616 USA",Jared.Murray@containers.com,(208) 639-5868,NET45,x,custom,,,,,,,1,17,,,,,,,,,,,
Scoop-.625cc,Scoop,A,National Measure,"7920 215th St. W. Lakeville, MN 55044",CustomerService1@nationalpolymersllc.com,800-328-4577,6,7,60,30,3,1,4500,pcs,0.079,0,0.079,1,0.079,Pcs,National Measure,"7920 215th St. W. Lakeville, MN 55044",CustomerService1@nationalpolymersllc.com,800-328-4577,CBS,https://www.nationalmeasures.com/products/0-625-cc-scoop/,.625LH,,,,,,,1,16,,,,,,,,,,,
Safetry-Shrink-Dome-8oz-Bottle,Safety Shrink Band,,Container and Packaging,"1345 E State St. Eagle, ID 83616 USA",Jared.Murray@containers.com,(208) 639-5868,7,7,60,30,3,1,10000,pcs,0.11,,0.11,1,0.11,Pcs,Container and Packaging,"1345 E State St. Eagle, ID 83616 USA",Jared.Murray@containers.com,(208) 639-5868,NET45,x,custom,,,,,,,1,17,,,,,,,,,,,
BTL-24-410-Cylinder-Round-8oz-White,Container/Pouch,A,Container and Packaging,"1345 E State St. Eagle, ID 83616 USA",Jared.Murray@containers.com,(208) 639-5868,7,7,60,30,3,100,4100,pcs,0.0885,0,0.0885,1,0.0885,Pcs,Container and Packaging,"1345 E State St. Eagle, ID 83616 USA",Jared.Murray@containers.com,(208) 639-5868,NET45,https://www.containerandpackaging.com/products/pe-cylinder-round/B302,B302,,,,,,,1,17,,,,,,,,,,,
LABL-NS-6x5-Liquid-Stevia-US-8oz,Label,A,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardLabels.com,888-277-3037,6,3,60,30,3,1000,500,pcs,0.19,0,0.19,1,0.19,Pcs,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardlabels.com,888-277-3037,CBS,x,custom,,,,,,,1,12,,,,,,,,,,,
RM-Clary-Sage-Essential-Oil,Raw Material,A,Lebermuth,"4004 Technology Dr. South Bend, IN 46628",cbader@lebermuth.com,.800.648.1123,10,9,60,30,3,10,1,lbs,77.92,3.35,81.27,2.2,178.794,Kg,Lebermuth,,cbader@lebermuth.com,.800.648.1123,NET30,https://www.bulkapothecary.com/clary-sage-essential-oil/,B310-019-005,,,,,,,1,22,,,,,,,,,,,
RM-Cashmere-Pear-Fragrance-Oil,Raw Material,A,Wholesale Supplies Plus,"7820 E Pleasant Valley Road Independence, Ohio 44131",,800-359-0944,5,5,60,30,3,16,16,oz,2.42,0,2.42,33.814,81.8299,Liter,Wholesale Supplies Plus,"7820 E Pleasant Valley Road Independence, Ohio 44131",contact@wholesalesuppliesplus.com,800-359-0944,CBS,https://www.wholesalesuppliesplus.com/products/cashmere-and-pear-fragrance-oil.aspx,,,,,,,,1,13,,,,,,,,,,,
RM-Euxyl-PE-9010,Raw Material,C,Lotion Crafter,"48 Hope Ln Eastsound, Washington 98245",support@lotioncrafter.com,,5,6,60,30,3,1,9,lbs,15.65,2.5,18.15,2.2,39.93,Kg,Lotion Crafter,"48 Hope Ln Eastsound, Washington 98245",support@lotioncrafter.com,,CBS,,,,,,,,,1,14,,,,,,,,,,,
WL-Cucumber-Body-Lotion-8oz-PLSF,White Label,,PLSF,"150 Douglas Ave Dunedin, FL 34698",,,100,47,60,30,3,1,500,pcs,6.75,0,6.75,1,6.75,Pcs,PLSF,"150 Douglas Ave Dunedin, FL 34698",orders@privatelabel.net,17274661703,Due Upon Reciept,,,,,,,,,1,150,,,,,,,,,,,
WL-Cucumber-Body-Lotion-8oz-Shay,White Label,A,Shay Labs,"2200 Tech Court, Woodstock, IL 60098",pam@shaylabs.com,(800) 358-6155,60,8,60,30,3,1,500,pcs,2.98,0,2.98,1,2.98,Pcs,,,pam@shaylabs.com,(800) 358-6155,50 DP/50 NET60,,,,,,,,,1,71,,Transition to Diva Stuff - replace all BOM Mapping to DS,,,,,,,,,
WL-Cystic-Spot-0.5oz-PLSF,White Label,,PLSF,"150 Douglas Ave Dunedin, FL 34698",,,100,47,60,30,3,1,500,pcs,2.11,0,2.11,1,2.11,Pcs,PLSF,"150 Douglas Ave Dunedin, FL 34698",orders@privatelabel.net,17274661703,Due Upon Reciept,,,,,,,,,1,150,,Transition to Diva Stuff - replace all BOM Mapping to DS,,,,,,,,,
WL-Acne-Patches,White Label,B,Hebei Houde Hanfang Medical,"RM1603 Jinhe Intl Business Building A, NO.42 Huan WestRd,Zhengding County Shijiazhuang City CN-13 Hebei 050899 CN",,,20,30,60,30,3,1,10000,pcs,0.25,0.0405,0.2905,1,0.2905,Pcs,Hebei Houde Hanfang Medical,"RM1603 Jinhe Intl Business Building A, NO.42 Huan WestRd,Zhengding County Shijiazhuang City CN-13 Hebei 050899 CN",,,CBS,,,,,,,,,1,53,,,,,,,,,,,
LABL-AY-6.125x0.5625-Warrior-1-Spot-Jar,Label,B,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardLabels.com,888-277-3037,6,3,60,30,3,1,500,pcs,0.1531,0,0.1531,1,0.1531,Pcs,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardlabels.com,888-277-3037,CBS,,,,,,,,,1,12,,,,,,,,,,,
LABL-AY-6.125x0.5625-Warrior-1-Spot-Jar-PLSF,Label,,Wizard Labels,"29136 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardLabels.com,888-277-3038,6,3,60,30,3,1,500,pcs,0.34,,0.34,1,0.34,Pcs,Wizard Labels,"29136 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardlabels.com,888-277-3037,CBS,,,,,,,,,1,12,,,,,,,,,,,
LABL-AY-6.125x0.5625-Warrior-2-Spot-Jar,Label,B,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardLabels.com,888-277-3037,6,3,60,30,3,1,500,pcs,0.1085,0,0.1085,1,0.1085,Pcs,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardlabels.com,888-277-3037,CBS,,,,,,,,,1,12,,,,,,,,,,,
PCH-4oz-NAT-Monkfruit-Preprinted,Container/Pouch,,Yason Pack,"No. 22 Huacui 1st Lane, Qiaotou Town, Dongguan City, Guangdong Province, China",,,29,40,60,60,3,1,5000,pcs,0.16,0.04,0.2,1,0.2,Pcs,Yason Pack,"No. 22 Huacui 1st Lane, Qiaotou Town, Dongguan City, Guangdong Province, China",sam@yasonpack.cn,86 13925595106,CBS,,,,,,,,,1,72,,,,,,,,,,,
PCH-4oz-PS-Monkfruit-Preprinted,Container/Pouch,,Yason Pack,"No. 22 Huacui 1st Lane, Qiaotou Town, Dongguan City, Guangdong Province, China",,,29,40,60,60,3,1,5000,pcs,0.16,0.04,0.2,1,0.2,Pcs,Yason Pack,"No. 22 Huacui 1st Lane, Qiaotou Town, Dongguan City, Guangdong Province, China",sam@yasonpack.cn,86 13925595106,CBS,,,,,,,,,1,72,,,,,,,,,,,
LABL-TA-Pillow-Spray,Label,A,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardLabels.com,888-277-3037,6,3,60,30,3,1,500,pcs,0.18,0,0.18,1,0.18,Pcs,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardlabels.com,888-277-3037,CBS,,,,,,,,,1,12,,,,,,,,,,,
LABL-TA-Face-Cream-Side-2oz,Label,A,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardLabels.com,888-277-3037,6,3,60,30,3,1,500,pcs,0.0963,0,0.0963,1,0.0963,Pcs,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardlabels.com,888-277-3037,CBS,,,,,,,,,1,12,,,,,,,,,,,
JAR-89-400-8oz-Straight-Base-White-HS,CM Packaging-Container,A,Ferragamo Packaging,"2925 Spafford Street, Suite D | Davis, CA 95618",gino@ferragamopackaging.com,530.304.5711,5,9,60,0,3,1,7350,pcs,0.45,0,0.45,1,0.45,Pcs,TRICORBRAUN,"14802 NW 107th Ave., Ste 8 Hialeah, FL 33018 USA",gino@ferragamopackaging.com,530.304.5711,NET30,,,,,,,,,1,17,,,,,,,,,,,
LID-89-400-Cap-F217-Liner-White-HS,CM Packaging-Top,A,Ferragamo Packaging,"2925 Spafford Street, Suite D | Davis, CA 95618",gino@ferragamopackaging.com,530.304.5711,5,9,60,0,3,1,10000,pcs,0.2,0,0.2,1,0.2,Pcs,Ferragamo Packaging,"2925 Spafford Street, Suite D | Davis, CA 95618",gino@ferragamopackaging.com,530.304.5711,NET30,,,,,,,,,1,17,,,,,,,,,,,
RM-PWD-Stevia-SG95RA60,Raw Material,,"Changsha Huir Biological-Tech Co., LTD (Huir)","Longping High-Tech Park, Changsha Economic and Technological Development Zone",summer@phyhuir.com,86-731-8468 6909,4,7,60,30,3,1,20,kg,44,0,44,1,44,Kg,Haigen,"No.3 Taoyuan Road,Taiwan Industry Park,QuFu 273100,China",summer@phyhuir.com,86-731-8468 6909,NET30,,,,,,,,,1,14,,,,,,,,,,,
PCH-4oz-PS-Stevia-Preprinted,Container/Pouch,,Yason Pack,"No. 22 Huacui 1st Lane, Qiaotou Town, Dongguan City, Guangdong Province, China",,,29,40,60,60,3,1,5000,pcs,0.16,0.04,0.2,1,0.2,Pcs,Yason Pack,"No. 22 Huacui 1st Lane, Qiaotou Town, Dongguan City, Guangdong Province, China",sam@yasonpack.cn,86 13925595106,CBS,,,,,,,,,1,72,,,,,,,,,,,
LABL-TA-5.75X4.75-Acne-Eliminating-Body-Spray-8oz,Label,B,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardLabels.com,888-277-3037,6,3,60,30,3,1,500,pcs,0.23,0,0.23,1,0.23,Pcs,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardlabels.com,888-277-3037,CBS,,,,,,,,,1,12,,,,,,,,,,,
LABL-TA-Cucumber-Lotion-8oz,Label,A,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardLabels.com,888-277-3037,6,3,60,30,3,1,500,pcs,0.26,0,0.26,1,0.26,Pcs,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardlabels.com,888-277-3037,CBS,,,,,,,,,1,12,,,,,,,,,,,
LABL-AY-Celestial-Body-Acne-Body-Lotion-8oz,Label,C,Wizard Labels,"29136 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardLabels.com,888-277-3038,6,3,60,30,3,1,500,pcs,0.37,0,0.37,1,0.37,Pcs,Wizard Labels,"29136 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardlabels.com,888-277-3037,CBS,,,,,,,,,,12,,,,,,,,,,,
LABL-TA-Acne-Eliminating-Face-Cleanser-8oz-HS,CM Packaging-Label,A,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardLabels.com,888-277-3037,6,3,60,0,3,1,500,pcs,0.15,0,0.15,1,0.15,Pcs,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardlabels.com,888-277-3037,CBS,,,,,,,,,1,12,,,,,,,,,,,
TA-Acne-Eliminating-Face-Cleanser,Turnkey FG,,Health Specialty,"8339 Allport Ave Santa Fe Springs, CA 90670 USA",christina@healthspecialty.com,562-273-0348,76,12,60,30,3,1,2120,pcs,2.3,0,2.3,1,2.3,Pcs,Health Specialty,"8339 Allport Ave Santa Fe Springs, CA 90670 USA",christina@healthspecialty.com,562-273-0348,NET30,,,,,,,,,1,91,,,,,,,,,,,
TA-Cystic-Acne-Spot-Treatment-NEW-Covalence,Turnkey FG,C,Covalence,"460 S Benson Lane STE 3 Chandler, AZ 85224",ehalula@covalence.com,480 897 0547,99,4,60,30,3,1,11200,pcs,1.31,0,1.31,1,1.31,Pcs,Covalence,"460 S Benson Lane STE 3 Chandler, AZ 85224",ehalula@covalence.com,480 897 0547,NET30,,,,,,,,,1,106,,,,,,,,,,,
AY-Cystic-Acne-Spot-Treatment-NEW-Covalence,Turnkey FG,B,Covalence,"460 S Benson Lane STE 3 Chandler, AZ 85224",ehalula@covalence.com,480 897 0547,99,4,60,30,3,1,11200,pcs,1.31,0,1.31,1,1.31,Pcs,Covalence,"460 S Benson Lane STE 3 Chandler, AZ 85224",ehalula@covalence.com,480 897 0547,NET30,,,,,,,,,1,106,,,,,,,,,,,
LABL-TA-3.75x4.75-Sleep-Spray-4oz,Label,C,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardLabels.com,888-277-3037,6,3,60,30,3,1,500,pcs,0.36,0,0.36,1,0.36,Pcs,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardlabels.com,888-277-3037,CBS,,,,,,,,,1,12,,,,,,,,,,,
LABL-TA-3.75x4.75-Shower-Spray-4oz,Label,C,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardLabels.com,888-277-3037,6,3,60,30,3,1,500,pcs,0.52,0,0.52,1,0.52,Pcs,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardlabels.com,888-277-3037,CBS,,,,,,,,,1,12,,,,,,,,,,,
BTL-4oz-Cosmo-White-24-410-HS,CM Packaging-Container,,Container and Packaging,"1345 E State St. Eagle, ID 83616 USA",Jared.Murray@containers.com,(208) 639-5868,7,7,60,0,3,100,3600,pcs,0.24,0.0586,0.2986,1,0.2986,Pcs,Container and Packaging,"1345 E State St. Eagle, ID 83616 USA",Jared.Murray@containers.com,(208) 639-5868,NET45,https://www.containerandpackaging.com/products/pet-imperial-bullet-cosmo/B344WH,B344WH,,,,,,,1,17,,,,,,,,,,,
LABL-TA-3.75x4.75-Room-Spray-4oz,Label,C,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardLabels.com,888-277-3037,6,3,60,30,3,1,500,pcs,0.31,0,0.31,1,0.31,Pcs,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardlabels.com,888-277-3037,CBS,,,,,,,,,1,12,,,,,,,,,,,
LABL-TA-Acne-Eliminating-Face-Cleanser-3.4oz-HS,CM Packaging-Label,,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardLabels.com,888-277-3037,6,3,60,0,3,1,500,pcs,0.15,0,0.15,1,0.15,Pcs,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardlabels.com,888-277-3037,CBS,,,,,,,,,1,12,,,,,,,,,,,
WL-Scar-Cream-2oz-PLSF,White Label,C,PLSF,"150 Douglas Ave Dunedin, FL 34698",,,100,47,60,30,3,1,5500,pcs,3,0.1565,3.1565,1,3.1565,Pcs,PLSF,"150 Douglas Ave Dunedin, FL 34698",orders@privatelabel.net,17274661703,Due Upon Reciept,,,,,,,,,1,150,,,,,,,,,,,
WL-Scar-Cream-2oz-Shay,White Label,C,Shay Labs,"2200 Tech Court, Woodstock, IL 60098",pam@shaylabs.com,(800) 358-6155,60,8,60,30,3,1,3000,pcs,1.64,0,1.64,1,1.64,Pcs,Shay Labs,"2200 Tech Court, Woodstock, IL 60098",pam@shaylabs.com,(800) 358-6155,50 DP/50 NET60,,,,,,,,,1,71,,,,,,,,,,,
TA-Crepey-Skin-Repair-Treatment-8oz-Shay,White Label,,Shay Labs,"2200 Tech Court, Woodstock, IL 60098",pam@shaylabs.com,(800) 358-6155,60,8,60,30,3,1,5627,pcs,2.2,,2.2,1,2.2,Pcs,,,pam@shaylabs.com,(800) 358-6155,50 DP/50 NET60,,,,,,,,,1,71,,,,,,,,,,,
LABL-TA-3.75x4.75-Yoga-Mat-Spray-4oz,Label,B,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardLabels.com,888-277-3037,6,3,60,30,3,1,500,pcs,0.41,0,0.41,1,0.41,Pcs,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardlabels.com,888-277-3037,CBS,,,,,,,,,1,12,,,,,,,,,,,
PCH-4oz-PS-Stndup-Matt,Container/Pouch,,Yason Pack,"No. 22 Huacui 1st Lane, Qiaotou Town, Dongguan City, Guangdong Province, China",,,29,40,60,30,3,1,10000,pcs,0.099,0.066,0.165,1,0.165,Pcs,Yason Pack,"No. 22 Huacui 1st Lane, Qiaotou Town, Dongguan City, Guangdong Province, China",sam@yasonpack.cn,86 13925595106,CBS,,,,,,,,,1,72,,,,,,,,,,,
WL-Four-In-One-4oz-PLSF,White Label,B,PLSF,"150 Douglas Ave Dunedin, FL 34698",,,100,47,60,30,3,1,2500,pcs,4.05,0,4.05,1,4.05,Pcs,PLSF,"150 Douglas Ave Dunedin, FL 34698",orders@privatelabel.net,17274661703,Due Upon Reciept,,,,,,,,,1,150,,,,,,,,,,,
Label AY-Here-Comes-The-Sun-Room-Spray 4oz,Label,C,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardLabels.com,888-277-3037,6,3,60,30,3,1,500,pcs,0.3,0,0.3,1,0.3,Pcs,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardlabels.com,888-277-3037,CBS,,,,,,,,,1,12,,,,,,,,,,,
M1005CL-Dome-Shrink-Band 77X185,Safety Shrink Band,,Container and Packaging,"1345 E State St. Eagle, ID 83616 USA",Jared.Murray@containers.com,(208) 639-5868,7,7,60,30,3,1,10000,pcs,0.0884,0.0048,0.0932,1,0.0932,Pcs,Container and Packaging,"1345 E State St. Eagle, ID 83616 USA",Jared.Murray@containers.com,(208) 639-5868,NET45,,M1005CL,,,,,,,1,17,,,,,,,,,,,
WL-Body-Wash-8oz-PLSF,White Label,,PLSF,"150 Douglas Ave Dunedin, FL 34698",,,100,47,60,30,3,1,1500,pcs,5,0,5,1,5,Pcs,PLSF,"150 Douglas Ave Dunedin, FL 34698",orders@privatelabel.net,17274661703,Due Upon Reciept,,,,,,,,,1,150,,,,,,,,,,,
WL-Body-Wash-8oz-Shay,White Label,B,Shay Labs,"2200 Tech Court, Woodstock, IL 60098",pam@shaylabs.com,(800) 358-6155,60,8,60,30,3,1,10000,pcs,2.96,0.3051,3.2651,1,3.2651,Pcs,Shay Labs,"1065 Lake Avenue, Suite 3 Woodstock, IL 60098",pam@shaylabs.com,(800) 358-6155,50 DP/50 NET60,,,,,,,,,1,71,,,,,,,,,,,
LABL-TA-5.75x4.75-Acne-Exfo-Body-Wash-8oz,Label,B,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardLabels.com,888-277-3037,6,3,60,30,3,1,500,pcs,0.24,0,0.24,1,0.24,Pcs,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardlabels.com,888-277-3037,CBS,,,,,,,,,1,12,,,,,,,,,,,
TA-Acne-Eliminating-Face-Cleanser-3.4oz-HS,Turnkey FG,,Health Specialty,"8339 Allport Ave Santa Fe Springs, CA 90670 USA",christina@healthspecialty.com,562-273-0348,76,12,60,30,3,1,3000,pcs,1.7,0,1.7,1,1.7,Pcs,Health Specialty,"8339 Allport Ave Santa Fe Springs, CA 90670 USA",christina@healthspecialty.com,562-273-0348,NET30,,,,,,,,,1,91,,,,,,,,,,,
